SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),567 SW 3rd St,Miami,FL,33130,3200000,12,6.0,CITY OF MIAMI SOUTH,3276,,1973,33,977,,Active,,,https://www.redfin.com/FL/Miami/567-SW-3rd-St-33130/home/42682938,MARMLS,A11444380,N,Y,25.7711372,-80.2040039
MLS Listing,,Condo/Co-op,10 SW South River Dr #1406,Miami,FL,33130,529000,2,2.0,NEO CONDO,1009,,2004,34,524,851,Active,,,https://www.redfin.com/FL/Miami/10-SW-South-River-Dr-33130/unit-1406/home/43304013,MARMLS,A11446332,N,Y,25.7732632,-80.201946
MLS Listing,,Condo/Co-op,801 S Miami Ave #4708,Miami,FL,33130,1699000,2,4.0,801 SMA RESIDENCES CONDO,1722,,2018,34,987,4200,Active,,,https://www.redfin.com/FL/Miami/801-S-Miami-Ave-33130/unit-4708/home/79137489,MARMLS,A11445177,N,Y,25.765952,-80.1930337
MLS Listing,,Condo/Co-op,999 SW 1st Ave #3304,Miami,FL,33130,772500,2,2.0,NINE AT MARY BRICKELL VILL,1225,,2015,35,631,1195,Active,,,https://www.redfin.com/FL/Miami/999-SW-1st-Ave-33130/unit-3304/home/110129853,MARMLS,A11445721,N,Y,25.7646567,-80.19497
MLS Listing,,Condo/Co-op,88 SW 7th St Ph 4303,Miami,FL,33130,6800000,4,4.5,RISE CONDO,3080,,2016,35,2208,3810,Active,,,https://www.redfin.com/FL/Miami/88-SW-7th-St-33130/unit-4303/home/110143114,MARMLS,A11445638,N,Y,25.7672413,-80.1946765
MLS Listing,,Condo/Co-op,350 S Miami Ave #2710,Miami,FL,33130,419000,1,1.0,WIND CONDO,740,,2008,35,566,698,Active,,,https://www.redfin.com/FL/Miami/350-S-Miami-Ave-33130/unit-2710/home/43402113,MARMLS,A11445395,N,Y,25.7704554,-80.1942628
MLS Listing,,Condo/Co-op,801 S Miami Ave #512,Miami,FL,33130,734000,0,1.0,801 SLS LUX SUITES,692,,2018,35,1061,1000,Active,,,https://www.redfin.com/FL/Miami/801-S-Miami-Ave-33130/unit-512/home/79138344,MARMLS,A11445245,N,Y,25.765952,-80.1930337
MLS Listing,,Condo/Co-op,350 S Miami Ave #312,Miami,FL,33130,570000,2,2.0,WIND CONDO,1120,,2008,35,509,1050,Active,,,https://www.redfin.com/FL/Miami/350-S-Miami-Ave-33130/unit-312/home/42676066,MARMLS,A11445193,N,Y,25.7704554,-80.1942628
MLS Listing,,Condo/Co-op,55 SW 9th St #1106,Miami,FL,33130,799000,2,2.0,BRICKELL HEIGHTS II,1053,,2017,35,759,1166,Active,,,https://www.redfin.com/FL/Miami/55-SW-9th-St-33130/unit-1106/home/79135287,MARMLS,A11445192,N,Y,25.7656252,-80.1938705
MLS Listing,,Condo/Co-op,90 SW 3rd St #1803,Miami,FL,33130,525000,1,1.5,IVY CONDO,846,,2008,36,621,734,Active,,,https://www.redfin.com/FL/Miami/90-SW-3rd-St-33130/unit-1803/home/43474825,MARMLS,A11442994,N,Y,25.7703648,-80.1952141
MLS Listing,,Condo/Co-op,79 SW 12th St Unit 1210-S,Miami,FL,33130,640000,2,2.0,THE AXIS ON BRICKELL COND,1100,,2008,37,582,850,Active,,,https://www.redfin.com/FL/Miami/79-SW-12th-St-33130/unit-1210-S/home/43469885,MARMLS,A11437275,N,Y,25.7626354,-80.1946435
MLS Listing,,Condo/Co-op,1250 S Miami Ave #1203,Miami,FL,33130,540000,2,2.0,VUE AT BRICKELL CONDO,1069,,2004,38,505,985,Active,,,https://www.redfin.com/FL/Miami/1250-S-Miami-Ave-33130/unit-1203/home/43345120,MARMLS,A11443369,N,Y,25.762418,-80.1936698
MLS Listing,,Condo/Co-op,1111 SW 1st Ave Unit 2114-N,Miami,FL,33130,669000,2,2.0,THE AXIS ON BRICKELL II C,1107,,2008,38,604,925,Active,,,https://www.redfin.com/FL/Miami/1111-SW-1st-Ave-33130/unit-2114-N/home/43459355,MARMLS,A11443551,N,Y,25.7628418,-80.194655
MLS Listing,,Condo/Co-op,1300 S Miami Ave #4108,Miami,FL,33130,555000,1,1.5,SLS BRICKELL,649,,2016,38,855,747,Active,,,https://www.redfin.com/FL/Miami/1300-S-Miami-Ave-33130/unit-4108/home/56742926,MARMLS,A11425234,N,Y,25.7612047,-80.1935966
MLS Listing,,Condo/Co-op,88 SW 7th St #1203,Miami,FL,33130,1080000,2,2.0,RISE CONDO,1261,,2016,39,856,1270,Active,,,https://www.redfin.com/FL/Miami/88-SW-7th-St-33130/unit-1203/home/110142097,MARMLS,A11395951,N,Y,25.7672413,-80.1946765
MLS Listing,,Condo/Co-op,801 S Miami Ave #1202,Miami,FL,33130,1000000,2,2.5,801 SMA RESIDENCES CONDO,1119,,2018,41,894,2400,Active,,,https://www.redfin.com/FL/Miami/801-S-Miami-Ave-33130/unit-1202/home/79133051,MARMLS,A11442684,N,Y,25.765952,-80.1930337
MLS Listing,,Condo/Co-op,60 SW 13th St #3602,Miami,FL,33130,660000,2,2.5,INFINITY AT BRICKELL COND,1253,,2008,41,527,1124,Active,,,https://www.redfin.com/FL/Miami/60-SW-13th-St-33130/unit-3602/home/43413006,MARMLS,A11442533,N,Y,25.7609697,-80.1943717
MLS Listing,,Condo/Co-op,1250 S Miami Ave #1004,Miami,FL,33130,550000,2,2.0,VUE AT BRICKELL CONDO,1023,,2004,42,538,944,Active,,,https://www.redfin.com/FL/Miami/1250-S-Miami-Ave-33130/unit-1004/home/43371850,MARMLS,A11441619,N,Y,25.762418,-80.1936698
MLS Listing,,Condo/Co-op,55 SW 9th St #3506,Miami,FL,33130,950000,2,2.0,BRICKELL HEIGHTS WEST CON,1053,,2017,42,902,1280,Active,,,https://www.redfin.com/FL/Miami/55-SW-9th-St-33130/unit-3506/home/79135243,MARMLS,A11441790,N,Y,25.7656252,-80.1938705
MLS Listing,,Multi-Family (2-4 Unit),440 SW 5th Ave,Miami,FL,33130,3950000,,324.0,CITY OF MIAMI SOUTH,12825,,1925,42,308,,Active,,,https://www.redfin.com/FL/Miami/440-SW-5th-Ave-33130/home/42681053,MARMLS,A11441503,N,Y,25.7691789,-80.2027836
MLS Listing,,Condo/Co-op,90 SW 3rd St Unit TH307,Miami,FL,33130,699000,2,2.0,IVY CONDO,1172,,2008,44,596,1006,Active,,,https://www.redfin.com/FL/Miami/90-SW-3rd-St-33130/unit-TH307/home/43403564,MARMLS,A11440075,N,Y,25.7703648,-80.1952141
MLS Listing,,Condo/Co-op,649 SW 9th St #108,Miami,FL,33130,295000,2,1.0,TRAIL GARDENS CONDO,657,,1966,45,449,150,Active,,,https://www.redfin.com/FL/Miami/649-SW-9th-St-33130/unit-108/home/42761483,MARMLS,A11439888,N,Y,25.7654832,-80.2049627
MLS Listing,,Condo/Co-op,79 SW 12th St Unit 3608-S,Miami,FL,33130,484999,1,1.0,THE AXIS ON BRICKELL COND,707,,2008,45,686,593,Active,,,https://www.redfin.com/FL/Miami/79-SW-12th-St-33130/unit-3608-S/home/43418417,MARMLS,A11439422,N,Y,25.7626354,-80.1946435
