SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1455 Ocean Dr #610,Miami Beach,FL,33139,1999000,2,2.5,IL VILLAGGIO ON SOUTH BEA,1450,,1998,268,1379,2272,Active,,,https://www.redfin.com/FL/Miami-Beach/1455-Ocean-Dr-33139/unit-610/home/42800981,MARMLS,A11320135,N,Y,25.7873417,-80.129359
MLS Listing,,Condo/Co-op,1542 Drexel Ave #207,Miami Beach,FL,33139,269000,1,1.0,THE RUSKIN CONDO,530,,1925,1,508,447,Active,,,https://www.redfin.com/FL/Miami-Beach/1542-Drexel-Ave-33139/unit-207/home/43259000,MARMLS,A11464100,N,Y,25.7883832,-80.1335683
MLS Listing,,Condo/Co-op,465 Ocean Dr #320,Miami Beach,FL,33139,619000,1,1.0,ROYAL ATLANTIC CONDO,645,,1969,1,960,616,Active,,,https://www.redfin.com/FL/Miami-Beach/465-Ocean-Dr-33139/unit-320/home/43366064,MARMLS,A11464574,N,Y,25.7744208,-80.1313873
MLS Listing,,Condo/Co-op,1455 Ocean Dr #1408,Miami Beach,FL,33139,5995000,3,3.5,IL VILLAGGIO ON SOUTH BEA,2820,,1998,1,2126,8832,Active,,,https://www.redfin.com/FL/Miami-Beach/1455-Ocean-Dr-33139/unit-1408/home/42791402,MARMLS,A11463709,N,Y,25.7873417,-80.129359
MLS Listing,,Condo/Co-op,1130 11th St Unit 6D,Miami Beach,FL,33139,335000,1,1.0,APOLLO CONDO,792,,1968,1,423,500,Active,,,https://www.redfin.com/FL/Miami-Beach/1130-11th-St-33139/unit-6D/home/42795916,MARMLS,A11464562,N,Y,25.7815168,-80.1405213
MLS Listing,,Condo/Co-op,300 S Pointe Dr #3402,Miami Beach,FL,33139,2749000,2,2.5,PORTOFINO TOWER CONDO,1960,,1996,1,1403,2809,Pre On-Market,,,https://www.redfin.com/FL/Miami-Beach/300-S-Pointe-Dr-33139/unit-3402/home/42806518,MARMLS,A11461154,N,Y,25.7677055,-80.1348768
MLS Listing,,Condo/Co-op,101 20th St #2302,Miami Beach,FL,33139,3000000,2,2.0,SETAI RESORT & RESIDENCES,1213,,2004,1,2473,8533,Active,,,https://www.redfin.com/FL/Miami-Beach/101-20th-St-33139/unit-2302/home/43433386,MARMLS,A11464305,N,Y,25.7954398,-80.1280504
MLS Listing,,Condo/Co-op,1 Collins Ave #108,Miami Beach,FL,33139,1349000,1,1.0,ONE OCEAN CONDO,889,,2016,1,1517,1750,Active,,,https://www.redfin.com/FL/Miami-Beach/1-Collins-Ave-33139/unit-108/home/113886890,MARMLS,A11463940,N,Y,25.769375,-80.133358
MLS Listing,,Condo/Co-op,1052 Ocean Dr Unit C504,Miami Beach,FL,33139,549000,0,1.0,THE STRAND ON OCEAN DRIVE,438,,2005,1,1253,1242,Active,,,https://www.redfin.com/FL/Miami-Beach/1052-Ocean-Dr-33139/unit-C504/home/43340036,MARMLS,A11457380,N,Y,25.781326,-80.1306894
MLS Listing,,Condo/Co-op,810 7th St #207,Miami Beach,FL,33139,250000,1,1.0,FIRST DECO CONDO,450,,1940,1,556,513,Active,,,https://www.redfin.com/FL/Miami-Beach/810-7th-St-33139/unit-207/home/170955753,MARMLS,A11463932,N,Y,25.7769116,-80.1364984
MLS Listing,,Condo/Co-op,1445 16th St #703,Miami Beach,FL,33139,2800000,2,3.5,CAPRI SOUTH BEACH CONDO,1919,,2008,1,1459,2794,Active,,,https://www.redfin.com/FL/Miami-Beach/1445-16th-St-33139/unit-703/home/43406467,MARMLS,A11463652,N,Y,25.789262,-80.1447206
MLS Listing,,Condo/Co-op,1840 James Ave #12,Miami Beach,FL,33139,210000,0,1.0,SHERITA CONDO,337,,1952,1,623,388,Active,,,https://www.redfin.com/FL/Miami-Beach/1840-James-Ave-33139/unit-12/home/43449867,MARMLS,A11463449,N,Y,25.794925,-80.1312347
MLS Listing,,Moorage,1244 Pennsylvania Ave #306,Miami Beach,FL,33139,269000,1,1.0,DORANN CONDO,514,,1925,1,523,405,Active,,,https://www.redfin.com/FL/Miami-Beach/1244-Pennsylvania-Ave-33139/unit-306/home/43357419,MARMLS,A11461069,N,Y,25.7836916,-80.1345279
MLS Listing,,Condo/Co-op,1200 West Ave #801,Miami Beach,FL,33139,379900,1,1.0,MIRADOR 1200 CONDO,609,,1965,1,624,1294,Active,,,https://www.redfin.com/FL/Miami-Beach/1200-West-Ave-33139/unit-801/home/43347006,MARMLS,A11463659,N,Y,25.782981,-80.142902
MLS Listing,,Condo/Co-op,1 Century Ln #209,Miami Beach,FL,33139,1200000,2,2.5,THE VISTAS CONDO,1210,,1998,1,992,1205,Active,,,https://www.redfin.com/FL/Miami-Beach/1-Century-Ln-33139/unit-209/home/42785322,MARMLS,A11462758,N,Y,25.7916909,-80.1498013
MLS Listing,,Condo/Co-op,1688 West Ave Unit G-06,Miami Beach,FL,33139,399000,1,2.0,WEST BAY PLAZA CONDO,820,,1995,1,487,880,Active,,,https://www.redfin.com/FL/Miami-Beach/1688-West-Ave-33139/unit-G-06/home/42792892,MARMLS,A11463576,N,Y,25.7918726,-80.1431637
MLS Listing,,Condo/Co-op,1027 Pennsylvania Ave #306,Miami Beach,FL,33139,425000,2,2.0,PENN PLAZA CONDO,760,,1925,2,559,400,Active,,,https://www.redfin.com/FL/Miami-Beach/1027-Pennsylvania-Ave-33139/unit-306/home/43263747,MARMLS,A11463322,N,Y,25.7812322,-80.1336773
MLS Listing,,Condo/Co-op,100 S Pointe Dr #1009,Miami Beach,FL,33139,6750000,2,2.5,CONTINUUM ON SOUTH BEACH,1595,,2002,2,4232,3416,Active,,,https://www.redfin.com/FL/Miami-Beach/100-S-Pointe-Dr-33139/unit-1009/home/43387205,MARMLS,A11462481,N,Y,25.7671215,-80.1327822
MLS Listing,,Condo/Co-op,350 Collins Ave #306,Miami Beach,FL,33139,289000,1,1.0,OCEAN BEACH FLA SUB,700,,1960,2,413,417,Active,,,https://www.redfin.com/FL/Miami-Beach/350-Collins-Ave-33139/unit-306/home/42800430,MARMLS,A11461865,N,Y,25.7731459,-80.1335273
MLS Listing,,Condo/Co-op,335 Ocean Dr #228,Miami Beach,FL,33139,435000,1,1.0,OCEAN WALK ON SOUTH BEACH,410,,1939,2,1061,544,Active,,,https://www.redfin.com/FL/Miami-Beach/335-Ocean-Dr-33139/unit-228/home/42801326,MARMLS,A11462752,N,Y,25.7726208,-80.1318235
MLS Listing,,Condo/Co-op,1245 Pennsylvania Ave #8,Miami Beach,FL,33139,200000,0,1.0,PENN-TWELVE CONDO,394,,1973,2,508,486,Active,,,https://www.redfin.com/FL/Miami-Beach/1245-Pennsylvania-Ave-33139/unit-8/home/42793446,MARMLS,A11462980,N,Y,25.7837268,-80.1336623
MLS Listing,,Condo/Co-op,1000 Michigan Ave #606,Miami Beach,FL,33139,385000,1,2.0,PARKVIEW HOUSE CONDO,792,,1970,2,486,487,Active,,,https://www.redfin.com/FL/Miami-Beach/1000-Michigan-Ave-33139/unit-606/home/42803529,MARMLS,A11453834,N,Y,25.7807824,-80.1388636
MLS Listing,,Condo/Co-op,1617 Jefferson Ave #203,Miami Beach,FL,33139,250000,1,1.0,JEFFERSON GARDENS CONDO,,,1983,2,,394,Active,,,https://www.redfin.com/FL/Miami-Beach/1617-Jefferson-Ave-33139/unit-203/home/42798711,MARMLS,A11455771,N,Y,25.7895742,-80.1372911
MLS Listing,,Condo/Co-op,400 Alton Rd #1106,Miami Beach,FL,33139,3500000,3,3.0,MURANO GRANDE AT PORTOFIN,2024,,2003,2,1729,2527,Active,,,https://www.redfin.com/FL/Miami-Beach/400-Alton-Rd-33139/unit-1106/home/43288074,MARMLS,A11461371,N,Y,25.7731379,-80.1406043
MLS Listing,,Condo/Co-op,328 Euclid Ave #103,Miami Beach,FL,33139,400000,1,1.0,BACARAT AT 328 EUCLID AVE,611,,1939,2,655,495,Active,,,https://www.redfin.com/FL/Miami-Beach/328-Euclid-Ave-33139/unit-103/home/43317534,MARMLS,A11460542,N,Y,25.7729629,-80.1352242
MLS Listing,,Condo/Co-op,2201 Collins Ave #1429,Miami Beach,FL,33139,3000000,1,1.5,2201 COLLINS AVE CONDO,1054,,2009,2,2846,3948,Active,,,https://www.redfin.com/FL/Miami-Beach/2201-Collins-Ave-33139/unit-1429/home/43443222,MARMLS,A11455816,N,Y,25.7979013,-80.1275924
MLS Listing,,Condo/Co-op,2001 Meridian Ave Ph -05,Miami Beach,FL,33139,2500000,2,2.5,THE MERIDIAN CONDO,1450,,2005,2,1724,2080,Pre On-Market,,,https://www.redfin.com/FL/Miami-Beach/2001-Meridian-Ave-33139/unit-05/home/43340081,MARMLS,A11462495,N,Y,25.7964706,-80.1361477
MLS Listing,,Condo/Co-op,1200 West Ave #604,Miami Beach,FL,33139,569000,1,1.0,MIRADOR 1200 CONDO,837,,1965,3,680,889,Active,October-15-2023 12:00 PM,October-15-2023 02:00 PM,https://www.redfin.com/FL/Miami-Beach/1200-West-Ave-33139/unit-604/home/43339542,MARMLS,A11462531,N,Y,25.782981,-80.142902
MLS Listing,,Condo/Co-op,900 Euclid Ave Unit 12A,Miami Beach,FL,33139,220000,0,1.0,900 EUCLID AVE INC CONDO,387,,1965,3,568,328,Active,,,https://www.redfin.com/FL/Miami-Beach/900-Euclid-Ave-33139/unit-12A/home/42798403,MARMLS,A11462639,N,Y,25.7795589,-80.1354914
MLS Listing,,Condo/Co-op,1320 Drexel Ave #308,Miami Beach,FL,33139,245000,1,1.0,WINDSOR PLAZA CONDO,390,,1925,3,628,334,Active,,,https://www.redfin.com/FL/Miami-Beach/1320-Drexel-Ave-33139/unit-308/home/42802456,MARMLS,A11462286,N,Y,25.7845484,-80.1332941
MLS Listing,,Condo/Co-op,1255 Pennsylvania Ave #300,Miami Beach,FL,33139,279000,1,1.0,THE ROOSEVELT CONDO,460,,1925,3,607,401,Active,,,https://www.redfin.com/FL/Miami-Beach/1255-Pennsylvania-Ave-33139/unit-300/home/42801543,MARMLS,A11462188,N,Y,25.7839054,-80.1335783
MLS Listing,,Condo/Co-op,100 Lincoln Rd #1201,Miami Beach,FL,33139,379000,1,1.0,THE DECOPLAGE CONDO,550,,1965,3,689,696,Active,,,https://www.redfin.com/FL/Miami-Beach/100-Lincoln-Rd-33139/unit-1201/home/42797820,MARMLS,A11462182,N,Y,25.7904391,-80.1296945
MLS Listing,,Condo/Co-op,100 Lincoln Rd #1105,Miami Beach,FL,33139,355000,1,1.0,THE DECOPLAGE CONDO,530,,1965,3,670,669,Active,,,https://www.redfin.com/FL/Miami-Beach/100-Lincoln-Rd-33139/unit-1105/home/43414823,MARMLS,A11462111,N,Y,25.7904391,-80.1296945
MLS Listing,,Condo/Co-op,900 16th St #201,Miami Beach,FL,33139,247900,0,1.0,THE ESPLANADE BEACH CONDO,490,,1925,3,506,742,Active,,,https://www.redfin.com/FL/Miami-Beach/900-16th-St-33139/unit-201/home/42798745,MARMLS,A11462022,N,Y,25.7887718,-80.1379299
MLS Listing,,Condo/Co-op,1800 Collins Ave Unit 15C,Miami Beach,FL,33139,450000,1,1.5,TOWER 1800 CONDO,876,,1975,3,514,590,Active,,,https://www.redfin.com/FL/Miami-Beach/1800-Collins-Ave-33139/unit-15C/home/42792392,MARMLS,A11461338,N,Y,25.7941993,-80.1298853
MLS Listing,,Condo/Co-op,1000 West Ave #1105,Miami Beach,FL,33139,394900,0,1.0,MIRADOR 1000 CONDO,781,,1968,3,506,1782,Active,,,https://www.redfin.com/FL/Miami-Beach/1000-West-Ave-33139/unit-1105/home/43319212,MARMLS,A11461951,N,Y,25.7808649,-80.1427275
MLS Listing,,Condo/Co-op,1000 West Ave #1005,Miami Beach,FL,33139,354900,0,1.0,MIRADOR 1000 CONDO,781,,1968,3,454,1782,Active,,,https://www.redfin.com/FL/Miami-Beach/1000-West-Ave-33139/unit-1005/home/43320677,MARMLS,A11461949,N,Y,25.7808649,-80.1427275
MLS Listing,,Condo/Co-op,1000 S Pointe Dr #1205,Miami Beach,FL,33139,2600000,2,2.5,MURANO AT PORTOFINO CONDO,1407,,2001,4,1848,1675,Active,,,https://www.redfin.com/FL/Miami-Beach/1000-S-Pointe-Dr-33139/unit-1205/home/43276147,MARMLS,A11461734,N,Y,25.768712,-80.13767
MLS Listing,,Condo/Co-op,435 21st St #114,Miami Beach,FL,33139,415000,1,1.0,ARTECITY GOVERNOR CONDO,651,,1936,4,637,808,Active,,,https://www.redfin.com/FL/Miami-Beach/435-21st-St-33139/unit-114/home/43404587,MARMLS,A11461720,N,Y,25.7974869,-80.1313021
MLS Listing,,Condo/Co-op,400 Alton Rd Unit TH-2M,Miami Beach,FL,33139,1550000,1,1.5,MURANO GRANDE AT PORTOFIN,1310,,2003,4,1183,3334,Pre On-Market,,,https://www.redfin.com/FL/Miami-Beach/400-Alton-Rd-33139/unit-TH-2M/home/43299874,MARMLS,A11460466,N,Y,25.7731379,-80.1406043
MLS Listing,,Condo/Co-op,1004 Pennsylvania Ave #4,Miami Beach,FL,33139,130000,0,1.0,PEN-TEN CO-OP APTS INC,,,1960,6,,225,Active,,,https://www.redfin.com/FL/Miami-Beach/1004-Pennsylvania-Ave-33139/unit-4/home/42798978,MARMLS,A11461348,N,Y,25.7808223,-80.1343752
MLS Listing,,Condo/Co-op,1342 Drexel Ave #203,Miami Beach,FL,33139,289990,1,1.0,1342 DREXEL CONDO,460,,1925,6,630,350,Active,,,https://www.redfin.com/FL/Miami-Beach/1342-Drexel-Ave-33139/unit-203/home/42803232,MARMLS,A11460943,N,Y,25.7850215,-80.1332878
MLS Listing,,Condo/Co-op,2155 Washington Ct #202,Miami Beach,FL,33139,535000,1,1.0,ARTEPARK NORTH CONDO,721,,2011,6,742,850,Active,,,https://www.redfin.com/FL/Miami-Beach/2155-Washington-Ct-33139/unit-202/home/50121253,MARMLS,A11461290,N,Y,25.7983118,-80.1311689
MLS Listing,,Condo/Co-op,401 Ocean Dr #718,Miami Beach,FL,33139,819000,1,1.0,THE PRESIDENTIAL CONDO,679,,1970,6,1206,598,Active,December-2-2023 11:00 AM,December-2-2023 01:00 PM,https://www.redfin.com/FL/Miami-Beach/401-Ocean-Dr-33139/unit-718/home/42803758,MARMLS,A11460589,N,Y,25.773532,-80.132071
MLS Listing,,Condo/Co-op,401 Ocean Dr #520,Miami Beach,FL,33139,610000,1,1.0,THE PRESIDENTIAL CONDO,655,,1970,6,931,1196,Active,,,https://www.redfin.com/FL/Miami-Beach/401-Ocean-Dr-33139/unit-520/home/42804193,MARMLS,A11461120,N,Y,25.773532,-80.132071
MLS Listing,,Single Family Residential,244 S Coconut Ln,Miami Beach,FL,33139,8895000,4,2.5,RIVIERA 1ST & 2ND ADDN AM,3086,8400,1963,6,2882,,Active,,,https://www.redfin.com/FL/Miami-Beach/244-S-Coconut-Ln-33139/home/43418806,MARMLS,A11461014,N,Y,25.780536,-80.1658243
MLS Listing,,Condo/Co-op,1000 West Ave #306,Miami Beach,FL,33139,320000,0,1.0,MIRADOR 1000 CONDO,543,,1968,6,589,,Active,,,https://www.redfin.com/FL/Miami-Beach/1000-West-Ave-33139/unit-306/home/43310154,MARMLS,A11460455,N,Y,25.7808649,-80.1427275
MLS Listing,,Condo/Co-op,1620 West Ave #401,Miami Beach,FL,33139,309000,1,1.0,TWIN TOWERS CONDO,667,,1965,6,463,365,Active,,,https://www.redfin.com/FL/Miami-Beach/1620-West-Ave-33139/unit-401/home/42789790,MARMLS,A11460338,N,Y,25.7896776,-80.1428366
MLS Listing,,Condo/Co-op,1621 Bay Rd #1102,Miami Beach,FL,33139,738000,2,2.0,BAYVIEW PLAZA CONDO,1070,,1997,7,690,1281,Active,,,https://www.redfin.com/FL/Miami-Beach/1621-Bay-Rd-33139/unit-1102/home/42794833,MARMLS,A11460214,N,Y,25.789683,-80.1432509
