SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-1-2018,Condo/Co-op,7001 S La Cienega Blvd #305,Los Angeles,CA,90045,595000,2,2.0,C29 - Westchester,1026,35412,1985,55,580,486,Pending,,,https://www.redfin.com/CA/Los-Angeles/7001-S-La-Cienega-Blvd-90045/unit-305/home/6600348,CRMLS,SB23138405,N,Y,33.9738688,-118.3704345
PAST SALE,,Single Family Residential,8043 Westlawn Ave,Los Angeles,CA,90045,1400000,3,2.0,Westchester,1502,6072,1945,1,932,,Pending,,,https://www.redfin.com/CA/Los-Angeles/8043-Westlawn-Ave-90045/home/6618808,TheMLS,23-309777,N,Y,33.965829,-118.4086196
PAST SALE,April-16-1997,Single Family Residential,7449 Kentwood Ave,Los Angeles,CA,90045,1699000,3,2.5,Westchester,1839,6047,1951,1,924,2,Pending,,,https://www.redfin.com/CA/Los-Angeles/7449-Kentwood-Ave-90045/home/6616248,TheMLS,23-306223,N,Y,33.9750424,-118.401627
MLS Listing,,Single Family Residential,5710 W 74th St,Los Angeles,CA,90045,1799000,4,3.0,C29 - Westchester,2184,7841,1947,1,824,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/5710-W-74th-St-90045/home/6602074,CRMLS,SB23179106,N,Y,33.9716361,-118.380814
MLS Listing,,Single Family Residential,7806 Agnew Ave,Los Angeles,CA,90045,1799000,4,2.0,C29 - Westchester,2002,5601,1948,1,899,2,Active,,,https://www.redfin.com/CA/Los-Angeles/7806-Agnew-Ave-90045/home/6614283,CRMLS,PW23170233,N,Y,33.9700095,-118.4083877
MLS Listing,,Single Family Residential,6511 W 87th Pl,Los Angeles,CA,90045,1399000,4,2.0,C29 - Westchester,1296,5251,1944,1,1079,,Active,,,https://www.redfin.com/CA/Los-Angeles/6511-W-87th-Pl-90045/home/6634760,CRMLS,SB23179449,N,Y,33.9580155,-118.4019654
MLS Listing,,Single Family Residential,5546 W 78th St,Los Angeles,CA,90045,1199000,3,2.0,Westchester,1379,5637,1950,4,869,,Active,,,https://www.redfin.com/CA/Los-Angeles/5546-W-78th-St-90045/home/6639691,TheMLS,23-314257,N,Y,33.9657654,-118.3770832
MLS Listing,,Single Family Residential,7917 Mcconnell Ave,Los Angeles,CA,90045,1899000,3,2.0,Westchester,1900,5899,1948,4,999,4,Pre On-Market,,,https://www.redfin.com/CA/Los-Angeles/7917-McConnell-Ave-90045/home/6617698,TheMLS,23-313746,N,Y,33.9674712,-118.4134131
MLS Listing,,Single Family Residential,8212 Belford Ave,Los Angeles,CA,90045,1399000,3,2.0,Westchester,1484,6017,1947,5,943,,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Los-Angeles/8212-Belford-Ave-90045/home/6605481,TheMLS,23-312667,N,Y,33.9640374,-118.3835263
MLS Listing,,Single Family Residential,8156 Kenyon Ave,Los Angeles,CA,90045,1795000,4,2.0,Westchester,1705,6029,1946,5,1053,2,Active,,,https://www.redfin.com/CA/Los-Angeles/8156-Kenyon-Ave-90045/home/6618452,TheMLS,23-312669,N,Y,33.9638093,-118.4095226
