SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3601 Walnut Ave,Manhattan Beach,CA,90266,2448000,3,2.0,143 - Manhattan Bch Tree,1846,4645,1950,20,1326,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/3601-Walnut-Ave-90266/home/6707919,CRMLS,SB23170523,N,Y,33.9010456,-118.4001422
MLS Listing,,Single Family Residential,114 N Poinsettia Ave,Manhattan Beach,CA,90266,9600000,5,6.0,144 - Manhattan Bch Hill,6400,6753,2006,168,1500,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/114-N-Poinsettia-Ave-90266/home/6705706,CRMLS,OC23059381,N,Y,33.8799162,-118.400085
MLS Listing,,Single Family Residential,1215 Fisher Ave,Manhattan Beach,CA,90266,7999000,5,5.5,143 - Manhattan Bch Tree,5400,3000,2019,1,1481,,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Manhattan-Beach/1215-Fisher-Ave-90266/home/6706470,CRMLS,SB23185972,N,Y,33.8872066,-118.4073651
MLS Listing,,Single Family Residential,4113 Crest Dr,Manhattan Beach,CA,90266,4500000,3,2.5,Manhattan Beach Sand,2295,1350,2023,1,1961,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/4113-Crest-Dr-90266/home/6655802,TheMLS,23-318409,N,Y,33.904009,-118.418798
MLS Listing,,Townhouse,221 4th Pl,Manhattan Beach,CA,90266,3295000,3,3.5,142 - Manhattan Bch Sand,2500,2925,2001,1,1318,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/221-4th-Pl-90266/home/8121393,CRMLS,SB23186070,N,Y,33.880295,-118.4077754
MLS Listing,,Single Family Residential,308 2nd St,Manhattan Beach,CA,90266,2950000,2,2.0,142 - Manhattan Bch Sand,1375,1473,1940,1,2145,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/308-2nd-St-90266/home/6712479,CRMLS,PW23185431,N,Y,33.8787325,-118.4061189
MLS Listing,,Single Family Residential,2605 N Poinsettia Ave,Manhattan Beach,CA,90266,2295000,3,2.0,143 - Manhattan Bch Tree,1190,4109,1956,1,1929,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Manhattan-Beach/2605-N-Poinsettia-Ave-90266/home/6708383,CRMLS,PW23185213,N,Y,33.8954013,-118.4006327
MLS Listing,,Single Family Residential,10 Cambridge,Manhattan Beach,CA,90266,3200000,4,3.0,145 - Manhattan Village,3058,10748,1982,2,1046,385,Active,October-8-2023 02:00 PM,October-8-2023 04:00 PM,https://www.redfin.com/CA/Manhattan-Beach/10-Cambridge-90266/home/6657155,CRMLS,SB23183952,N,Y,33.8960241,-118.3901062
MLS Listing,,Multi-Family (2-4 Unit),3604 Alma,Manhattan Beach,CA,90266,3700000,7,5.0,142 - Manhattan Bch Sand,3540,3500,1960,5,1045,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/3604-Alma-Ave-90266/home/6709776,CRMLS,SB23182694,N,Y,33.90084,-118.416441
MLS Listing,,Single Family Residential,4308 The Strand,Manhattan Beach,CA,90266,12500000,5,4.5,142 - Manhattan Bch Sand,4354,3494,2000,5,2871,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/4308-The-Strand-90266/home/6656028,CRMLS,SB23182015,N,Y,33.9044184,-118.4213989
MLS Listing,,Single Family Residential,501 23rd St,Manhattan Beach,CA,90266,5925000,6,4.5,142 - Manhattan Bch Sand,5100,4511,2007,6,1162,,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Manhattan-Beach/501-23rd-St-90266/home/51586116,CRMLS,SB23160824,N,Y,33.8933745,-118.4114162
MLS Listing,,Single Family Residential,808 John St,Manhattan Beach,CA,90266,19900000,5,5.0,144 - Manhattan Bch Hill,6604,20168,1998,7,3013,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/808-John-St-90266/home/180795138,CRMLS,SB23181256,N,Y,33.8841566,-118.4018555
MLS Listing,,Single Family Residential,511 Marine Ave,Manhattan Beach,CA,90266,3795000,4,3.0,142 - Manhattan Bch Sand,2451,4232,1983,7,1548,,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Manhattan-Beach/511-Marine-Ave-90266/home/6710724,CRMLS,SB23179723,N,Y,33.8929177,-118.4107248
MLS Listing,,Single Family Residential,1720 Walnut Ave,Manhattan Beach,CA,90266,5100000,5,4.5,143 - Manhattan Bch Tree,3558,4485,2020,7,1433,,Active,,,https://www.redfin.com/CA/Manhattan-Beach/1720-Walnut-Ave-90266/home/6707371,CRMLS,SB23179012,N,Y,33.8909705,-118.3993224
