SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,13045 Pacific Promenade #318,Playa Vista,CA,90094,1098000,2,2.0,C39 - Playa Vista,1160,71339,2007,35,947,847,Active,,,https://www.redfin.com/CA/Playa-Vista/13045-Pacific-Promenade-90094/unit-318/home/21916155,CRMLS,SB23156544,N,Y,33.9726666,-118.4248445
MLS Listing,,Condo/Co-op,6020 Seabluff Dr #440,Playa Vista,CA,90094,1398000,2,2.0,Playa Vista,1260,92033,2006,5,1110,799,Active,,,https://www.redfin.com/CA/Playa-Vista/6020-Seabluff-Dr-90094/unit-440/home/17234592,TheMLS,23-313791,N,Y,33.9734736,-118.4222843
MLS Listing,,Condo/Co-op,13080 Pacific Promenade #323,Playa Vista,CA,90094,1099900,2,2.5,C39 - Playa Vista,1174,27231,2003,15,937,653,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Playa-Vista/13080-Pacific-Promenade-90094/unit-323/home/8136037,CRMLS,PW23156394,N,Y,33.9718493,-118.4252381
MLS Listing,,Condo/Co-op,7100 Playa Vista Dr #406,Playa Vista,CA,90094,1389000,2,2.5,Playa Vista,1892,61604,2007,16,734,946,Active,,,https://www.redfin.com/CA/Playa-Vista/7100-Playa-Vista-Dr-90094/unit-406/home/17231893,TheMLS,23-309747,N,Y,33.9697571,-118.4249377
MLS Listing,,Condo/Co-op,13200 Pacific Promenade #250,Playa Vista,CA,90094,724800,1,1.0,C39 - Playa Vista,642,68243,2003,18,1129,913,Active,October-1-2023 02:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Playa-Vista/13200-Pacific-Promenade-90094/unit-250/home/22930280,CRMLS,SR23168035,N,Y,33.9707795,-118.4269437
MLS Listing,,Condo/Co-op,7101 Playa Vista Dr #114,Playa Vista,CA,90094,1300000,3,2.5,Playa Vista,1687,43294,2005,19,771,1001,Contingent,,,https://www.redfin.com/CA/Playa-Vista/7101-Playa-Vista-Dr-90094/unit-114/home/17238646,TheMLS,23-301109,N,Y,33.9692248,-118.4261223
MLS Listing,,Condo/Co-op,13020 Pacific Promenade #310,Playa Vista,CA,90094,999000,2,2.0,Playa Vista,1060,80189,2005,21,942,932,Contingent,,,https://www.redfin.com/CA/Playa-Vista/13020-Pacific-Promenade-90094/unit-310/home/8183925,TheMLS,23-307545,N,Y,33.9725871,-118.4229277
MLS Listing,,Townhouse,12975 Agustin Pl #110,Playa Vista,CA,90094,1299000,3,2.5,Playa Vista,1860,35591,2004,25,698,941,Active,,,https://www.redfin.com/CA/Playa-Vista/12975-Agustin-Pl-90094/unit-110/home/8177496,TheMLS,23-306391,N,Y,33.9747074,-118.4232922
MLS Listing,,Single Family Residential,12869 N Seaglass Cir,Playa Vista,CA,90094,3995000,5,5.5,Playa Vista,3984,14905,2014,33,1003,383,Contingent,,,https://www.redfin.com/CA/Playa-Vista/12869-N-Seaglass-Cir-90094/home/108611484,TheMLS,23-296571,N,Y,33.974331,-118.419645
MLS Listing,,Townhouse,6020 Celedon Crk #1,Playa Vista,CA,90094,1875000,4,3.5,Playa Vista,2340,31347,2005,34,801,826,Active,,,https://www.redfin.com/CA/Playa-Vista/6020-Celedon-Crk-90094/unit-1/home/8179320,TheMLS,23-285195,N,Y,33.9732325,-118.4209983
