SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,5959 Collins Ave Ph -2004,Miami Beach,FL,33140,8875000,3,3.5,THE RESIDENCES AT THE BAT,3982,,2005,1,2229,602115,Active,,,https://www.redfin.com/FL/Miami-Beach/5959-Collins-Ave-33140/unit-2004/home/43348383,MARMLS,A11459137,N,Y,25.8418797,-80.1209689
MLS Listing,,Single Family Residential,4505 Alton Rd,Miami Beach,FL,33140,1649000,4,3.5,NAUTILUS EXTENSION,2328,8611,1937,1,708,,Active,,,https://www.redfin.com/FL/Miami-Beach/4505-Alton-Rd-33140/home/42782503,MARMLS,A11464353,N,Y,25.8206529,-80.1356992
MLS Listing,,Condo/Co-op,5959 Collins Ave #3002,Miami Beach,FL,33140,18395000,4,5.0,THE RESIDENCES AT THE BAT,5685,,2007,1,3236,12704,Active,,,https://www.redfin.com/FL/Miami-Beach/5959-Collins-Ave-33140/unit-3002/home/43439861,MARMLS,A11458935,N,Y,25.8418797,-80.1209689
MLS Listing,,Condo/Co-op,5701 Collins Ave Ph 03,Miami Beach,FL,33140,485000,1,2.0,Arlen Beach Condo,,,1969,1,,751,Active,,,https://www.redfin.com/FL/Miami-Beach/5701-Collins-Ave-33140/unit-03/home/42768214,MARMLS,A11463874,N,Y,25.8378303,-80.1202638
MLS Listing,,Condo/Co-op,2401 Collins Ave #1103,Miami Beach,FL,33140,750000,2,2.0,THE RIVIERA CONDO,1368,,1980,1,548,1151,Active,,,https://www.redfin.com/FL/Miami-Beach/2401-Collins-Ave-33140/unit-1103/home/42784032,MARMLS,A11462892,N,Y,25.8001536,-80.1264146
MLS Listing,,Condo/Co-op,5601 Collins Ave #509,Miami Beach,FL,33140,770000,1,2.0,THE PAVILION CONDO,930,,1968,1,828,858,Active,,,https://www.redfin.com/FL/Miami-Beach/5601-Collins-Ave-33140/unit-509/home/42771186,MARMLS,A11463714,N,Y,25.8368872,-80.1203134
MLS Listing,,Single Family Residential,5060 N Bay Rd,Miami Beach,FL,33140,42000000,8,8.0,LA GORCE GOLF SUB,6672,30144,1935,2,6295,,Active,,,https://www.redfin.com/FL/Miami-Beach/5060-N-Bay-Rd-33140/home/42781878,MARMLS,A11462504,N,Y,25.8279224,-80.1328922
MLS Listing,,Condo/Co-op,6000 Collins Ave #328,Miami Beach,FL,33140,800000,2,2.0,TERRA BEACHSIDE CONDO,1700,,2010,2,471,1367,Active,,,https://www.redfin.com/FL/Miami-Beach/6000-Collins-Ave-33140/unit-328/home/43453344,MARMLS,A11460951,N,Y,25.8431014,-80.1210507
MLS Listing,,Condo/Co-op,5775 Collins Ave #303,Miami Beach,FL,33140,9500000,4,2.5,57 OCEAN CONDO,2903,,2021,2,3272,7023,Active,,,https://www.redfin.com/FL/Miami-Beach/5775-Collins-Ave-33140/unit-303/home/42771517,MARMLS,A11459736,N,Y,25.8392568,-80.1203947
MLS Listing,,Multi-Family (2-4 Unit),3921 N Meridian,Miami Beach,FL,33140,10500000,,,GARDEN SUB AMD PL,4909,,1956,2,2139,,Active,,,https://www.redfin.com/FL/Miami-Beach/3921-N-Meridian-Ave-33140/home/42790099,MARMLS,A11463113,N,Y,25.8122662,-80.1331833
