SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,50 Biscayne Blvd #3904,Miami,FL,33132,750000,2,2.0,50 BISCAYNE CONDO,1358,,2007,14,552,1138,Active,,,https://www.redfin.com/FL/Miami/50-Biscayne-Blvd-33132/unit-3904/home/43376983,MARMLS,A11456527,N,Y,25.7750019,-80.1879868
MLS Listing,,Condo/Co-op,1600 NE 1st Ave #1716,Miami,FL,33132,555000,2,2.0,CANVAS CONDO,,,2018,1,,983,Active,,,https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-1716/home/168005645,MARMLS,A11464712,N,Y,25.7911361,-80.192716
MLS Listing,,Vacant Land,Miami,Miami,FL,33178,425000,,,GREEN HAVEN ACRES,,19602,,1,,,Active,,,https://www.redfin.com/FL/Miami/Miami-33132/home/104378889,MARMLS,A11464711,N,Y,25.7700009,-80.1679758
MLS Listing,,Condo/Co-op,555 NE 15th St Ph -H,Miami,FL,33132,359995,1,1.5,VENETIA CONDO,800,,1980,1,450,1160,Active,,,https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-H/home/43423500,MARMLS,A11464570,N,Y,25.7901247,-80.1856879
MLS Listing,,Condo/Co-op,1600 NE 1st Ave #1806,Miami,FL,33132,615000,2,2.0,CANVAS CONDO,1040,,2018,1,591,1004,Active,,,https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-1806/home/168005340,MARMLS,A11464370,N,Y,25.7911361,-80.192716
MLS Listing,,Condo/Co-op,1600 NE 1st Ave #2314,Miami,FL,33132,485000,1,1.5,CANVAS CONDO,857,,2018,1,566,690,Active,,,https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-2314/home/160666940,MARMLS,A11463668,N,Y,25.7911361,-80.192716
MLS Listing,,Condo/Co-op,,Miami,FL,33132,380000,0,1.0,,501,,2007,1,758,752,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33132/home/43389886,MARMLS,A11464146,N,Y,25.7750019,-80.1879868
MLS Listing,,Condo/Co-op,488 NE 18th St #4407,Miami,FL,33132,665000,1,2.0,ARIA ON THE BAY CONDO,979,,2018,1,679,822,Active,,,https://www.redfin.com/FL/Miami/488-NE-18th-St-33132/unit-4407/home/110133003,MARMLS,A11463170,N,Y,25.7935082,-80.1866881
MLS Listing,,Condo/Co-op,,Miami,FL,33132,2480000,3,4.0,,2018,,2018,1,1229,3184,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33132/home/110133311,MARMLS,A11464076,N,Y,25.7935082,-80.1866881
MLS Listing,,Condo/Co-op,253 NE 2nd St #2205,Miami,FL,33132,465000,1,1.0,VIZCAYNE SOUTH CONDO,802,,2008,1,580,815,Active,,,https://www.redfin.com/FL/Miami/253-NE-2nd-St-33132/unit-2205/home/42678473,MARMLS,A11459140,N,Y,25.7762976,-80.1894915
MLS Listing,,Condo/Co-op,,Miami,FL,33132,398000,1,1.5,,735,,2007,1,541,602,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33132/home/43389195,MARMLS,A11456564,N,Y,25.7759537,-80.1901927
MLS Listing,,Condo/Co-op,851 NE 1st Ave #4510,Miami,FL,33132,867000,1,2.0,PARAMOUNT MIAMI WORLDCENT,1185,,2019,1,732,1250,Active,,,https://www.redfin.com/FL/Miami/851-NE-1st-Ave-33132/unit-4510/home/171960589,MARMLS,A11450128,N,Y,25.7825607,-80.1919549
MLS Listing,,Condo/Co-op,488 NE 18th St #4201,Miami,FL,33132,835000,2,2.5,ARIA ON THE BAY CONDO,1178,,2018,2,709,890,Active,,,https://www.redfin.com/FL/Miami/488-NE-18th-St-33132/unit-4201/home/110130924,MARMLS,A11463522,N,Y,25.7935082,-80.1866881
MLS Listing,,Condo/Co-op,133 NE 2nd Ave #513,Miami,FL,33132,450000,2,2.0,THE LOFT DOWNTOWN II COND,1153,,2007,2,390,944,Active,,,https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-513/home/43389094,MARMLS,A11461867,N,Y,25.7759537,-80.1901927
MLS Listing,,Condo/Co-op,888 Biscayne Blvd #5003,Miami,FL,33132,650000,1,1.5,MARINABLUE CONDO,943,,2008,2,689,769,Active,,,https://www.redfin.com/FL/Miami/888-Biscayne-Blvd-33132/unit-5003/home/43398071,MARMLS,A11462941,N,Y,25.7821519,-80.1901732
MLS Listing,,Condo/Co-op,133 NE 2nd Ave #3207,Miami,FL,33132,399999,1,1.0,THE LOFT DOWNTOWN II COND,651,,2007,2,614,533,Active,,,https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-3207/home/43389199,MARMLS,A11462945,N,Y,25.7759537,-80.1901927
MLS Listing,,Condo/Co-op,900 Biscayne Blvd #5012,Miami,FL,33132,899000,2,2.5,900 BISCAYNE BAY CONDO,1237,,2008,2,727,1374,Active,,,https://www.redfin.com/FL/Miami/900-Biscayne-Blvd-33132/unit-5012/home/43404296,MARMLS,A11462866,N,Y,25.7834936,-80.1902091
MLS Listing,,Condo/Co-op,851 NE 1st Ave #3811,Miami,FL,33132,1975000,3,4.0,PARAMOUNT MIAMI WORLDCENT,2188,,2019,2,903,2548,Active,,,https://www.redfin.com/FL/Miami/851-NE-1st-Ave-33132/unit-3811/home/169972871,MARMLS,A11462896,N,Y,25.7825607,-80.1919549
MLS Listing,,Condo/Co-op,275 NE 18th St #1710,Miami,FL,33132,520000,2,2.0,1800 BISCAYNE PLAZA CONDO,1087,,2005,2,478,1182,Active,,,https://www.redfin.com/FL/Miami/275-NE-18th-St-33132/unit-1710/home/43330474,MARMLS,A11462924,N,Y,25.7940475,-80.1893373
MLS Listing,,Condo/Co-op,555 NE 15th St Unit 14D,Miami,FL,33132,345000,1,1.5,VENETIA CONDO,890,,1980,3,388,1160,Active,,,https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-14D/home/42734598,MARMLS,A11430254,N,Y,25.7901247,-80.1856879
MLS Listing,,Condo/Co-op,1750 N Bayshore Dr #4109,Miami,FL,33132,399000,1,1.0,OPERA TOWER CONDO,825,,2008,3,484,952,Active,,,https://www.redfin.com/FL/Miami/1750-N-Bayshore-Dr-33132/unit-4109/home/43398545,MARMLS,A11462739,N,Y,25.7925085,-80.1871286
MLS Listing,,Condo/Co-op,,Miami,FL,33132,475000,1,1.0,,752,,2018,3,632,726,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33132/home/168005806,MARMLS,A11460473,N,Y,25.7911361,-80.192716
MLS Listing,,Condo/Co-op,,Miami,FL,33132,545000,1,2.0,,940,,2008,3,580,900,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33132/home/42676345,MARMLS,A11462104,N,Y,25.7762976,-80.1894915
MLS Listing,,Condo/Co-op,1717 N Bayshore Dr Unit A-3348,Miami,FL,33132,725000,3,2.0,VENETIA CONDO,1602,,1986,3,453,1127,Active,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-3348/home/42730071,MARMLS,A11461850,N,Y,25.791316,-80.1861552
MLS Listing,,Condo/Co-op,1800 N Bayshore Dr #4105,Miami,FL,33132,849995,2,2.0,1800 CLUB CONDO,1222,,2007,3,696,711,Active,,,https://www.redfin.com/FL/Miami/1800-N-Bayshore-Dr-33132/unit-4105/home/43390579,MARMLS,A11454822,N,Y,25.7939098,-80.1866113
