SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1155 Brickell Bay Dr #1905,Miami,FL,33131,475000,1,1.0,THE MARK ON BRICKELL COND,760,,2001,10,625,1032,Active,,,https://www.redfin.com/FL/Miami/1155-Brickell-Bay-Dr-33131/unit-1905/home/43275101,MARMLS,A11456064,N,Y,25.7621838,-80.1889886
MLS Listing,,Condo/Co-op,325 S Biscayne Blvd #3721,Miami,FL,33131,777000,2,2.0,ONE MIAMI WEST CONDO,1227,,2005,1,633,1113,Active,,,https://www.redfin.com/FL/Miami/325-S-Biscayne-Blvd-33131/unit-3721/home/43328896,MARMLS,A11464812,N,Y,25.7717055,-80.1863732
MLS Listing,,Condo/Co-op,701 Brickell Key Blvd #412,Miami,FL,33131,1280000,3,2.5,COURVOISIER COURTS CONDO,1725,,1997,1,742,1700,Active,,,https://www.redfin.com/FL/Miami/701-Brickell-Key-Blvd-33131/unit-412/home/43344094,MARMLS,A11463214,N,Y,25.7679481,-80.1860491
MLS Listing,,Condo/Co-op,1300 Brickell Bay Dr #700,Miami,FL,33131,570000,1,1.5,BRICKELLHOUSE CONDO,644,,2014,1,885,673,Active,,,https://www.redfin.com/FL/Miami/1300-Brickell-Bay-Dr-33131/unit-700/home/55273139,MARMLS,A11464567,N,Y,25.760372,-80.190197
MLS Listing,,Condo/Co-op,41 SE 5th St #304,Miami,FL,33131,510000,1,1.5,BRICKELL ON THE RIVER S T,987,,2006,1,517,769,Active,,,https://www.redfin.com/FL/Miami/41-SE-5th-St-33131/unit-304/home/43400457,MARMLS,A11464165,N,Y,25.7690616,-80.1918153
MLS Listing,,Condo/Co-op,901 Brickell Key Blvd #3208,Miami,FL,33131,3795000,4,4.5,CARBONELL CONDO,2860,,2005,1,1327,2600,Active,,,https://www.redfin.com/FL/Miami/901-Brickell-Key-Blvd-33131/unit-3208/home/43319935,MARMLS,A11463013,N,Y,25.7690507,-80.187027
MLS Listing,,Vacant Land,147XX SW 384,Miami,FL,33035,125000,,,MIAMI LAND & DEVELOPMENT,,812830,,1,,,Active,,,https://www.redfin.com/FL/Miami/147XX-SW-384-Unknown/home/187827347,MARMLS,A11458314,N,Y,25.7616798,-80.1917902
MLS Listing,,Condo/Co-op,1010 Brickell Ave #4401,Miami,FL,33131,1985000,3,3.0,1010 BRICKELL CONDO,1753,,2017,1,1132,1893,Active,,,https://www.redfin.com/FL/Miami/1010-Brickell-Ave-33131/unit-4401/home/79134603,MARMLS,A11463923,N,Y,25.764055,-80.1923013
MLS Listing,,Condo/Co-op,200 Biscayne Boulevard Way Unit 5203-5207,Miami,FL,33131,3675000,3,4.5,EPIC WEST CONDO,2992,,2008,1,1228,3089,Active,,,https://www.redfin.com/FL/Miami/200-Biscayne-Boulevard-Way-33131/home/186407738,MARMLS,A11462966,N,Y,25.7704305,-80.1891629
MLS Listing,,Condo/Co-op,1451 Brickell Ave #1606,Miami,FL,33131,900000,1,1.5,ECHO BRICKELL CONDO,781,,2017,1,1152,1675,Active,,,https://www.redfin.com/FL/Miami/1451-Brickell-Ave-33131/unit-1606/home/56743026,MARMLS,A11463243,N,Y,25.7581414,-80.1924308
